Par quel nom désigne-t-on le petit de l'éléphant ?;L'éléphon;L'éléphantrion;L'éléphanteau;3
Quelle lettre est le nom de scène de Matthieu Chedid ?;Z;H;M;3
Quel animal peut changer de couleur ?;Le paresseux;Le kangourou;Le caméléon;3
A quoi la Fashion Week est-elle associée ?;La mode;La musique;Le cinéma;1
Quelle émission de télévision américaine présente le quotidien de prêteurs sur gage ?;Pawn Stars;Vice;Pawnography;1
Quelle ancien président brésilien a été condamné et emprisonné en 2018 ?;Itamar Franco;Michel Temer;Lula;3
Quelle partie du curcuma est utilisée pour produire l'épice ?;La fleur;La feuille;Le rhizome;3
Comment s'appelle la compagne de Philippe dans "Scènes de ménages" ?;Camille;Emma;Marion;1
Dans la saga "Harry Potter", comment s'appelle le serpent de Voldemort ?;Hedwige;Crockdur;Nagini;3
De quel pays Tegucigalpa est-elle la capitale ?;Costa Rica;Honduras;Nicaragua;2
En quelle année est sorti le premier volet du jeu "Final Fantasy" ?;1994;1987;1989;2
Dans "The Elder Scrolls", comment se nomme le pays des Bosmer en anglais ?;Summerset;Morrowind;Valenwood;3
Quel célèbre justicier légendaire volait aux riches pour donner aux pauvres ?;Merlin l'Enchanteur;Robin des Bois;Lancelot du Lac;2
Quel est le symbole du Parti socialiste français ?;Une pomme;Une étoile;Une rose;3
Quels personnages de BD à peau bleue sont appelés "Smurfs" en anglais ?;Les Pokémon;Les Looney Tunes;Les Schtroumpfs;3
Hugh Grant est l'interprète principal du film "Quatre mariages et... ?;...un divorce;...un enterrement;...une lune de miel;2
Dans la série des X-Men, quel acteur incarne Wolverine ?;Ben Affleck;Matthew Fox;Hugh Jackman;3
La somme des angles d'un triangle est égale à...;90°;180°;360°;2
Dans quel pays se trouve l'alignement mégalithique de Tiya ?;En Ethiopie;Au chili;En Indonésie;1
De qui la série "American Crime Story", diffusée en 2016, relate-t-elle le procès ?;Phil Spector;O.J Simpson;Conrad Murray;2
De quelle couleur est un panneau indiquant un itinéraire temporaire ?;Bleu;Vert;Jaune;3
Quel est le vrai nom du pont d'Avignon ?;Pont Saint-Bénézét;Pont du Diable;Pont Flavien;1
Dans quel roman trouve-t-on le moine Guillaume de Baskerville ?;Le Dernier des Justes;Le Nom de la rose;Les Faux-Monnayeurs;2
En quelle année eut lieu le premier Tour de France;1901;1902;1903;3
Quelle proposition est un nom de pâtes alimentaires ?;Penne;Houmous;Pistou;1
Quel désert trouve-t-on au sud de l'Algérie;Le désert de Gobi;Le Kalahari;Le Sahara;3
Selon l'expression, dans les bras de quel dieu grec tombe-t-on en s'endormant ?;Athéna;Morphée;Zeus;2
Qui est le héros des "Liaisons dangereuses" ?;Richard;Paulin;Valmont;3
Dans quel pays est notamment né le tango ?;En Argentine;En Espagne;Au Portugal;1
Quel chanteur français, interprète de "Chez Laurette", est décédé en janvier 2016 ?;Hervé Christiani;Michel Delpech;Guy Béart;2
En quelle année la révolution des OEillets a-t-elle eu lieu ?;1972;1974;1975;2
Quelle confiserie fut créée en 1954 en mélangeant du caramel et du cacao ?;Werther's Original;Carambar;Mi-Cho-Ko;2
Quel est le nom du principal indice boursier de la place de Paris ?;Le Dow Jones;Le Footsie;Le CAC 40;3
Qu'est-ce qu'un ocelot ?;Un félin;Un rongeur;Un amphibien;1
Qui a peint le tableau "La Rade de Cardiff" ?;John Constable;Robert Meyerheim;Alfred Sisley;3
Quel chimiste a inventé l'eau de Javel;Lavoisier;Berthollet;Gay-Lussac;2
Quels héros de bande dessinée sont les maîtres du chien Kador ?;Tom-Tom et Nana;Les Dalton;Les Bidochon;3
Que fait le regard de la fille aux " yeux revolver " de Marc Lavoine ?;Il tue;Il parle;Il pleure;1
Comment s'appelle le meilleur ami de Sasha dans la série Pokémon ?;Dracaufeu;Pierre;Pikachu;3
Quelle est la préfecture de la région Occitanie ?;Toulouse;Montpellier;Nîmes;1
Comment dit-on " merci " en japonais ?;Arigatō;Moshimoshi;Sayōnara;1
En Formule 1, quel drapeau signale à un pilote qu'il est disqualifié ?;Rouge;Noir;Jaune;2
Que'est-ce qu'une babouchka pour les Russes ?;Une chaussure;Une grand-mère;Une pâtisserie;2
Avec combien de dés joue-t-on au Yam's?;3;4;5;3
Dans le tarot de Marseille, quelle est la carte portant le numéro 18 ?;Le Soleil;L'Etoile;La Lune;3
Dans quel pays se trouve la ville d'origine des parents d'Andy Warhol ?;La Slovaquie;La Bulgarie;La Roumanie;1
Dans quel pays est aujourd'hui située la ville de naissance d'Emmanuel Kant ?;En Lituanie;En Pologne;En Russie;3
Qui était le ministre de L'Education nationale en 1994 ?;Lionel Jospin;Dominique de Villepin;François Bayrou;3
Quel chevalier de la Table ronde est également appelé " Le Gallois " ?;Perceval;Aramis;Alexandre;1
De quelle saga cinématographique fait partie le film " L'Oeil du tigre ", sorti en 1982 ?;Star Wars;Rocky;Indiana Jones;2
Dans quel sport utilise-t-on un cochonnet ?;La voile;La pétanque;Le rugby;2
Qui était le père de la reine Elisabeth II ?;Charles V;Edouard VIII;George VI;3
Dans quel club Thierry Henry n'a-t-il jamais joué ?;AS Monaco;Olympique de Marseille;FC Barcelone;2
Dans quel pays se trouve le club du défenseur Benjamin Pavard ?;La France;L'Angleterre;L'Allemagne;3
Quelle équipe n'était pas dans le groupe de la France lors des qualifications pour 2018 ?;La Macédoine;La Biélorussie;La Suède;1
Qu'est ce que le panir en cuisine indienne?;Un récipient;Un fromage;Un type de farine;2
Quelle île les Européens appelaient-ils autrefois Formosa ?;Bornéo;Taïwan;Honshu;2
Quel acteur incarne le personnage de Messala dans le film Ben-Hur ?;Hugh Griffith;Jack Hawkins;Stephen Boyd;3
Quel groupe chante " Love Will Tear Us Apart " en 1980 ?;The Stooges;Joy Division;The Cure;2
Qui était le Premier ministre belge en 1982 ?;Mark Eyskens;Jean-Luc Dehaene;Wilfried Martens;3
Quelle célèbre famille habite à Springfield ?;Les Simpson;Les Dalton;Les Griffin;1
Où a-t-on mal lorsque l'on souffre d'un lumbago ?;A la main;Au dos;Aux oreilles;2
Avec quel condiment à base de piments assaisonne-t-on les couscous ?;La moutarde;La harissa;Le ketchup;2
A quel groupe ont appartenu Jean-Louis Aubert et Louis Bertignac ?;Louise attaque;Noir Désir;Téléphone;3
Quel club le Real Madrid bat-il en demi-finale de la Ligue des champions 2018 ?;L'OM;Le Bayern Munich;L'Atlético Madrid;2
Dans quel port la Marine britannique a-t-elle coulé la flotte française en 1940 ?;Gibraltar;Essaouira;Mers el-Kébir;3
En quelle année l'Angleterre a-t-elle remporté la Coupe du monde de football ?;1958;1962;1966;3
Quelle forme d'énergie n'est pas renouvelable ?;La géothermie;L'énergie fossile;La biomasse;2
Qui arriva troisième lors de la Coupe du monde en 2002 ?;La Corée du Sud;Le Sénégal;La Turquie;3
Comment s'appelait la mascotte de la Coupe du monde de football en 1978 ?;Gauchito;Juanito;Naranjito;1
Dans quelle commune française Nostradamus est-il né ?;Saint-Rémy-de-Provence;Saint-Paul-de-Vence;Salon-de-Provence;1
Quel est le nom de la famille héroïne du film " Allemagne année 0 " ?;Köhler;Gühne;Blänkner;1
Complétez ce dicton : " C'est en forgeant que l'on devient... ?;Forgeron;Facteur;Faucheur;1
Quelle star américaine a fait scandale en portant une robe de viande ?;Madonna;Selena Gomez;Lady Gaga;3
Quelle est la nationalité de Ronaldinho, l'ancien joueur du FC Barcelone ?;Espagnole;Portugaise;Brésilienne;3
En quelle année a eu lieu la première Coupe du monde de football ?;1930;1922;1946;1
Quel objet signale le trou sur un green de golf ?;Un drapeau;Un cône;Un luminaire;1
Qui avait pour témoins de mariage Nicolas Sarkozy et Johnny Hallyday ?;Dany Boon;Jean Reno;Christian Clavier;2
Dans quel film Dustin Hoffman a-t-il une lisaison avec Mrs. Robinson ?;Le Lauréat;Little Big Man;Kramer contre Kramer;1
Qui a reçu le titre de meilleur joueur de la Coupe du monde 2002 ?;Pauleta;Oliver Kahn;Ronaldo;2
Qui fut classé septième au Ballon d'or 2017 ?;Sergio Ramos;N'Golo Kanté;Kylian Mbappé;3
Combien d'années Sir Alex Ferguson fut-il l'entraineur de Manchester United ?;27 ans;32 ans;25 ans;1
En quelle année la France a-t-elle reçu son premier prix Nobel de chimie ?;1901;1904;1906;3
Qui était surnommé " Le tueur de vieilles dames " ?;Thierry Paulin;Marcel Barbeault;Martin Dumollard;1
Quel groupe réunissait Filip Nikolic, Frank Delay et Adel Kachermi ?;Les 2be3;Les 3T;Les Hanson;1
Quelle ancienne Spice Girls est devenue créatrice de mode ?;Geri Halliwell;Victoria Beckham;Emma Bunton;2
Quel fromage est originaire de Grèce ?;La burrata;La mozzarella;La feta;3
Avec quelle personnalité politique Arnaud Montebourg a-t-il été en couple ?;Aurélie Filippetti;Fleur Pellerin;Cécile Duflot;1
Quel film d'animation sorti en 2013 est le plus gros succès de l'histoire de l'animation ?;Toy Story 3;La Reine des neiges;Lego;2
